block_id,route_id,trip_headsign,service_id,shape_id,trip_id
b_8102,201,UW/LAURIER,muwtf_merged_998639,20101,547831
b_8101,201,UW/LAURIER,muwtf_merged_998639,20101,547830
b_8101,201,UW/LAURIER,muwtf_merged_998639,20101,547833
b_8103,201,UW/LAURIER,muwtf_merged_998639,20101,547832
b_8103,201,UW/LAURIER,muwtf_merged_998639,20101,547835
b_8102,201,UW/LAURIER,muwtf_merged_998639,20101,547834
b_8102,201,UW/LAURIER,muwtf_merged_998639,20101,547837
b_8101,201,UW/LAURIER,muwtf_merged_998639,20101,547836
b_8101,201,UW/LAURIER,muwtf_merged_998639,20101,547839
b_8103,201,UW/LAURIER,muwtf_merged_998639,20101,547838
b_2031,6,Downtown,a_merged_998635,601,549305
b_631,6,Downtown,a_merged_998635,601,549304
b_631,6,Bridgeport,a_merged_998635,600_merged_998647,549307
b_631,6,Downtown,a_merged_998635,601,549306
b_631,6,Downtown,a_merged_998635,601,549301
a_1234,31,Conestoga Mall,muwtf_merged_998634,3101,503354
b_2031,6,Downtown,a_merged_998635,601,549303
b_631,6,Downtown,a_merged_998635,601,549302
a_8025,200,iXpress to Conestoga Mall,a_merged_998630,20001,507932
b_331,3,Ottawa South,a_merged_998635,300,549309
b_332,3,Ottawa South,a_merged_998635,300,549308
b_2401,24,Highland to Downtown,a_merged_998635,2411,549806
b_2402,24,Highland,muwtf_merged_998639,2401,544568
b_2403,24,Highland,muwtf_merged_998639,2401,544569
b_2402,24,Highland,muwtf_merged_998639,2401,544566
b_2403,24,Highland,muwtf_merged_998639,2401,544567
b_2402,24,Highland,muwtf_merged_998639,2401,544564
b_2403,24,Highland,muwtf_merged_998639,2401,544565
b_2402,24,Highland,muwtf_merged_998639,2401,544562
b_2403,24,Highland,muwtf_merged_998639,2401,544563
b_2402,24,Highland,muwtf_merged_998639,2401,544560
b_2403,24,Highland,muwtf_merged_998639,2401,544561
a_1282,31,Conestoga Mall,muwtf_merged_998634,3101,503355
b_2401,24,Highland to Downtown,a_merged_998635,2411,549802
b_2402,24,Highland to Downtown,a_merged_998635,2411,549803
a_681,6,Bridgeport,muwtf_merged_998634,600_merged_998643,501118
a_682,6,Bridgeport,muwtf_merged_998634,600_merged_998643,501119
a_1133,6,Bridgeport,muwtf_merged_998634,600_merged_998643,501114
a_1132,6,Bridgeport,muwtf_merged_998634,600_merged_998643,501115
a_631,6,Bridgeport,muwtf_merged_998634,600_merged_998643,501116
a_634,6,Bridgeport,muwtf_merged_998634,600_merged_998643,501117
a_1132,6,Bridgeport,muwtf_merged_998634,600_merged_998643,501110
a_631,6,Bridgeport,muwtf_merged_998634,600_merged_998643,501111
a_634,6,Bridgeport,muwtf_merged_998634,600_merged_998643,501112
a_1134,6,Bridgeport,muwtf_merged_998634,600_merged_998643,501113
a_5202,52,Ainslie Terminal via Cherry Blossom,muwtf_merged_998634,5213,504760
a_5202,52,Fairview via Cherry Blossom,muwtf_merged_998634,5203,504761
a_5333,52,Ainslie Terminal via Preston Pkwy,muwtf_merged_998634,5211,504762
a_5201,52,Fairview via Preston Pkwy,muwtf_merged_998634,5201,504763
a_8003,200,iXpress to Conestoga Mall,muwtf_merged_998634,20001,504764
a_8005,200,iXpress to Conestoga Mall,muwtf_merged_998634,20001,504765
a_8002,200,iXpress to Conestoga Mall,muwtf_merged_998634,20001,504766
a_8004,200,iXpress to Conestoga Mall,muwtf_merged_998634,20001,504767
a_8021,200,iXpress to Conestoga Mall,muwtf_merged_998634,20001,504768
a_8008,200,iXpress to Conestoga Mall,muwtf_merged_998634,20001,504769
b_132,25,Queen South,a_merged_998635,2501,549833
a_1284,31,Conestoga Mall,muwtf_merged_998634,3101,503357
b_803,8,Fairview via Westmount/East TR,s_merged_998638,813,552639
b_851,8,Fairview via Westmount/East TR,s_merged_998638,813,552638
b_933,9,Lakeshore to UW,muwtf_merged_998639,901,546839
b_804,8,Fairview via Westmount/East TR,s_merged_998638,813,552631
b_803,8,Fairview via Westmount/East TR,s_merged_998638,813,552630
b_804,8,Fairview via Westmount/East TR,s_merged_998638,813,552633
b_803,8,Fairview via Westmount/East TR,s_merged_998638,813,552632
b_803,8,Fairview via Westmount/East TR,s_merged_998638,813,552635
b_803,8,Fairview via Westmount/East TR,s_merged_998638,813,552634
b_803,8,Fairview via Westmount/East TR,s_merged_998638,813,552637
b_631,6,Downtown,a_merged_998635,601,549300
b_936,5,Erb West,a_merged_998635,501,550703
b_931,5,Erb West,a_merged_998635,501,550702
a_331,3,Ottawa South to Downtown,muwtf_merged_998634,301,501808
a_1134,3,Ottawa South to Downtown,muwtf_merged_998634,301,501809
b_932,5,Erb West,a_merged_998635,501,550707
b_935,5,Erb West,a_merged_998635,501,550706
b_933,5,Erb West,a_merged_998635,501,550705
b_934,5,Erb West,a_merged_998635,501,550704
a_331,3,Ottawa South to Downtown,muwtf_merged_998634,301,501802
a_333,3,Ottawa South to Downtown,muwtf_merged_998634,301,501803
a_332,3,Ottawa South to Downtown,muwtf_merged_998634,301,501800
a_334,3,Ottawa South to Downtown,muwtf_merged_998634,301,501801
a_331,3,Ottawa South to Downtown,muwtf_merged_998634,301,501806
